OPENADMET_LOGAC50_cyp2j2,OPENADMET_LOGAC50_cyp3a4,OPENADMET_LOGAC50_cyp1a2,OPENADMET_LOGAC50_pxr,OPENADMET_LOGAC50_cyp2d6,OPENADMET_LOGAC50_cyp2c9,OPENADMET_LOGAC50_ahr
,,5.2,,,,
,,6.25,,,4.7,
,5.8,5.3,,7.1,5.5,
,5.3,6.5,,4.7,,
,,4.9,,,4.85,
,4.85,4.75,,6.4,4.75,
,5.5,,,,,
,5.1,4.9,,,5.4,
,4.8,4.65,,,4.85,
,5.3,,,,5.3,
,,5.7,,,5.65,
,,,,4.94,,
,4.85,4.9,,5.15,4.65,
,4.6,,,,,
,5.75,,,,,
,5.599999999999999,,,,4.6,
,,4.85,,4.6,5.05,
,5.05,,,,,
,,7.0,,,,
,,,,5.0,,
,,,,4.79,,
,5.0,,,,,
,4.26,,,4.05,,
,,,,8.52,,
,5.0,6.0,,4.6,,
,8.0,,,4.7,,
,4.65,4.52,,4.64,6.1,
,,,,6.17,,
,4.55,4.8,,,4.4,
,4.19,4.41,,,5.55,
,7.3,,,,,
,6.1,5.0,,4.6,5.8,
,5.8,4.8,,,5.5,
,,4.7,,5.9,,
,5.2,,,,,
,4.6,,,,4.9,
,,4.95,,,4.9,
,6.33,,,,,
,,5.45,,,6.35,
,,,5.24,,,
,4.8,4.8,,4.6,4.7,
,,,,5.0,,
,,5.3,,,,
,5.24,,,,,
,,,,,4.4,
,5.75,,,4.85,,
,,5.1,,,,
,,4.85,,,,
,,,,5.44,,
,5.1,,,4.7,,
,,,,4.8,,
,,,,8.32,,
,,,,5.09,,
,,7.54,,,,
,5.1,,,,,
,,,,7.38,,
,4.9,,,4.55,5.35,
,4.8,,,,5.3,
,5.3,,,4.75,5.05,
,4.8,4.9,,4.5,,
,4.85,,,,,
,,5.5,,,,
,,,,5.1,,
,4.6,,,,,
,4.6,4.9,,,5.0,
,,,,4.58,,
,,,,4.54,,
,5.41,4.83,,5.92,4.58,
,,,,5.6,,
,6.9,,,,,
,,,7.85,,,
,5.1,4.6,,4.75,4.9,
,5.52,6.0,,,,
,,4.5,,,,
,,,,5.17,5.96,
,,,,,4.89,
,4.7,6.3,,,,
,,4.9,,,5.0,
,5.66,,,,,
,4.8,,,,,
,7.2,,,,,
,,,,,6.0,
,,,,,4.6,
,5.1,,,,,
,,,,,4.7,
,8.35,,,,,
,,4.9,,5.55,,
,,,,,5.24,
,,,,5.3,,
,6.24,,,,,
,5.2,,,,,
,5.400000000000001,5.9,,5.1,5.1,
,,5.35,,4.55,,
,,5.25,,,4.65,
,,,4.89,,,
,5.15,4.85,,4.7,4.9,
,,4.65,,,,
,4.9,,,,,
,,4.68,,4.09,4.75,
,5.7,,,,,
,5.5,,,5.5,,
,,,,,,7.92
,4.8,,,,,
,4.8,,,,,
,,5.1,,,5.05,
,5.3,5.6,,,4.8,
,4.5,,,,,
,,,,,5.41,
,5.1,5.5,,,4.9,
,5.3,,,,6.9,
,5.1,,,,,
,5.45,,,,5.2,
,4.8,,,,,
,5.4,,,5.2,,
,,,,6.72,,
,,,,,5.0,
,5.05,,,4.7,,
,4.82,,,6.5,,
,5.67,,,,,
,4.6,4.9,,,,
,,5.0,,,4.95,
,5.2,5.1,,,5.45,
,5.5,,,,4.9,
,4.9,4.8,,4.4,4.6,
,5.900000000000001,,,5.5,,
,4.85,,,,4.45,
,5.45,4.85,,,4.9,
,,,,5.28,,
,4.85,6.0,,,4.7,
,5.11,5.2,,,5.01,
,,4.9,,,,
,4.9,,,,,
,5.8,4.6,,4.8,5.0,
,4.69,,,,,
,,,,4.51,6.16,
,5.900000000000001,5.9,,,6.3,
,5.400000000000001,6.2,,5.0,6.0,
,6.0,,,,,
,5.400000000000001,5.9,,5.8,5.5,
,4.9,,,,6.3,
,6.75,,,6.15,7.45,
,4.7,,,,,
,4.5,5.0,,4.6,4.4,
,,,,5.35,,
,4.84,,,4.36,,
,5.3,,,,,
,5.900000000000001,,,5.2,,
,,6.2,,,6.1,
,5.0,4.8,,4.55,4.55,
,,5.21,,,,
,4.96,,,,,
,,,,,4.9,
,,,5.48,,,
,6.0,4.85,,5.0,5.65,
,4.8,4.85,,6.3,,
,5.2,,,,,
,,,,,4.6,
,,,5.04,,,
,5.05,5.5,,5.7,4.9,
,5.6499999999999995,4.75,,6.6,,
,,,,,4.8,
,4.9,4.8,,,4.8,
,6.82,,,6.58,6.2,
,,5.5,,,,
,4.9,4.8,,5.4,,
,5.15,,,5.45,,
,5.94,,,,,
,4.85,5.15,,4.65,4.95,
,4.85,4.75,,4.75,5.95,
,4.9,4.7,,,,
,6.36,,,4.06,,
,4.966666666666666,4.8999999999999995,,5.6,,
,4.51,,,,,
,5.599999999999999,6.8,,,,
,4.6,4.7,,,,
,4.85,5.6,,5.45,5.7,
,4.9,4.5,,4.8,4.9,
,5.2,,,,,
,,5.65,,4.8,4.95,
,5.0,5.0,,,4.75,
,,4.8,,,,
,,,,4.55,,
,4.7,,,,,
,,5.3,,,,
,7.0,,,,,
,5.0,5.0,,5.45,,
,5.77,,,,,
,5.5,,,,,
,,,,4.82,5.19,
,4.06,4.68,,,4.38,
,,5.75,,,5.05,
,8.59,,,,,
,5.1,5.4,,5.4,,
,5.25,,,4.65,5.45,
,4.9,4.8,,,,
,6.0,,,5.1,4.7,
,,6.7,,,,
,5.4,,,5.0,4.85,
,4.75,5.05,,,4.7,
,5.65,4.8,,,,
,4.8,4.8,,,4.4,
,5.65,5.7,,,5.9,
,5.400000000000001,6.8,,5.5,,
,4.8,6.1,,,,
,5.25,,,,,
,5.69,,,,,
,,5.97,,,,
,,,,4.9,,
,4.635,6.3,,4.5,5.3,
,6.099999999999999,5.6,,,5.3,
,6.645,,,,,
,,6.35,,4.6,,
,,,,,4.395,
,6.2,6.2,,4.9,,
,4.7,4.65,,,5.45,
,,4.6,,,,
,,5.1,,,,
,,,4.785,,,
,,5.4,,,,
,5.8,5.85,,4.34,5.85,
,4.8,,,,,
,4.4,,,,,
,,,,,4.6,
,4.6,5.15,,4.85,4.9,
,4.7,5.3,,,5.1,
,,,,4.4,,
,,,,,6.4,
,,,,5.45,,
,6.5,4.8,,,,
,5.5,5.6,,4.5,,
,4.5,,,,,
,4.8,,4.92,,,
,,4.55,,,,
,,5.03,5.11,5.16,5.16,
,4.8,4.85,,4.75,4.55,
,,7.0,,,,
,,,,5.48,6.16,
,5.48,,,,,
,,5.5,,6.4,,
,4.8,5.35,,4.65,4.85,
,5.8,6.3,,5.0,,
,4.75,,,5.7,,
,4.4,,,,,
,,,,,4.82,
,,5.85,,,4.65,
,5.3,,,,,
,5.2,5.15,,,5.1,
,4.01,,,4.11,,
,,,,5.15,,
,5.8,4.75,,,7.7,
,4.4,4.6,,,7.0,
,,5.7,,5.2,5.3,
,5.5,5.1,,4.9,4.95,
,5.35,,,4.55,,
,,4.5,,,4.65,
,,5.1,,4.85,,
,4.8,5.35,,4.6,4.5,
,5.2,,,,,
,4.97,,,,,
,,,,4.5,,
,6.2,4.85,,,4.65,
,,5.7,,,,
,5.355,,,,,
,,,,5.5,,
,,,,6.46,,
,4.31,,,,4.465,
,,5.6,,,4.8,
,4.9,4.85,,,5.4,
,,,6.4,,,
,4.85,5.3,,4.95,4.85,
,5.18,,,,,
,5.16,,,,,
,4.57,,,,,
,5.35,,,,,
,,4.8,,,,
,5.1,6.7,,5.1,4.5,
,,4.5,,,,
,5.05,5.6,,4.85,,
,,,,,4.9,
,4.8,6.3,,4.9,,
,,5.63,,,,
,5.03,,,,,
,,,6.16,,,
,4.8,4.9,,,5.0,
,5.900000000000001,6.5,,4.4,,
,4.9,5.2,,5.3,,
,5.1,5.85,,5.85,4.85,
,4.07,,,,,
,,,,5.9,,
,5.3,,,,4.7,
,,,,,,6.12
,4.45,,,4.05,,
,4.8,4.8,,4.85,5.1,
,4.8,5.9,,,4.4,
,5.28,,,,,
,5.400000000000001,4.8,,5.0,5.0,
,5.1,,,,4.5,
,,4.85,,,,
,,,,5.7,,
,,,5.96,,,
,4.8,,,,4.82,
,5.599999999999999,5.7,,4.9,6.1,
,,,,6.75,,
,,4.37,,,4.26,
,5.47,,,4.14,5.35,
,4.65,4.6,,,4.5,
,5.5,6.5,,5.6,5.9,
,4.75,,,,5.31,
,4.6,,,,,
,,4.72,,4.58,5.68,
,,,,,5.0,
,4.5,4.85,,,4.85,
,5.2,,,,4.7,
,,6.7,,,6.35,
,4.31,,,,,
,5.3,5.4,,6.7,4.6,
,,5.8,,,,
,,4.85,,,5.4,
,,,,5.4,,
,4.55,5.05,,,5.45,
,5.0,,,,,
,4.82,,,,,
,7.400000000000001,,,,,
,,,,,6.58,
,,,,5.5,,
,5.8,,,5.5,5.5,
,,,,,4.85,
,5.3,,,,,
,,,5.85,,,
,5.0,5.95,,4.6,5.1,
,5.65,4.85,,4.55,6.7,
,,,,5.8,,
,5.2,,,,,
,5.85,5.1,,,6.0,
,5.3,,,,,
,,,6.82,,,
,6.46,,,5.98,7.0,
,,,,,5.75,
,4.6,,,,,
,,,7.44,,,
,5.08,,5.05,,5.343333333333334,
,4.37,,,,,
,5.0,,,,,
,5.0,4.95,,4.9,5.0,
,5.400000000000001,5.9,,5.4,,
,6.099999999999999,6.4,,4.4,,
,,,,6.26,,
,4.92,,,,,
,5.400000000000001,5.6,,4.9,,
,4.8,,,,,
,4.8,4.95,,,,
,5.6,5.8,,,,
,4.9,6.3,,,,
,6.0,,,,,
,5.04,,,,,
,4.83,,,,,
,,,,,4.69,
,5.400000000000001,,,,,
,,,,,5.7,
,,5.7,,,,
,,4.7,,,,
,,,,5.05,5.55,
,4.8,,,,4.75,
,,,,,4.8,
,,,4.85,,,
,5.400000000000001,,,4.4,4.6,
,4.6,4.75,,,4.85,
,5.5,,,,,
,,,,4.55,,
,,,,7.17,,
,5.5,,,4.4,4.8,
,,,,4.4,,
,,5.0,,,,
,5.29,,,4.75,7.0,
,5.24,,,,,
,4.58,4.5,5.03,,,
,,5.28,,,,
,5.75,5.45,,6.2,5.65,
,,5.95,,4.75,,
,4.8,6.0,,5.4,,
,4.45,,,,4.8,
,4.8,,,,7.35,
,5.95,5.4,,,4.95,
,,5.0,,,5.5,
,5.33,,,,,
,5.09,,,,,
,4.7,4.9,,6.4,,
,4.92,,,,,
,,,,4.4,,
,5.35,5.0,,,5.4,
,,4.5,,,5.9,
,5.46,,,,,
,4.65,4.8,,,4.95,
,5.599999999999999,5.5,,,,
,,,7.32,,,
,4.33,,,6.0,4.96,
,,,,5.1,,
,,,,4.85,,
,,5.4,,,,
,5.15,4.9,,4.9,5.5,
,4.37,,,,,
,4.6,4.9,,5.85,5.55,
,5.4,,,,,
,4.8,,,,4.85,
,5.1,5.4,,5.25,,
,,,,,5.5,
,,5.9,,,,
,5.0,5.6,,,,
,,,,5.62,,
,,4.9,,,,
,5.1,,,,,
,6.0,,,,,
,,,,6.02,,
,4.8,6.0,,,4.7,
,,,,6.8,,
,,4.8,,,,
,5.15,,,,,
,5.72,,,,5.92,
,6.09,,,5.82,,
,,4.65,,5.0,4.9,
,,,,,5.17,
,4.9,4.8,,5.1,,
,5.5,5.1,,4.6,5.1,
,6.36,,,,5.97,
,,4.55,,4.9,,
,,,,,7.0,
,5.7,,,,,
,4.6,6.05,,8.0,,
,,5.9,,,5.0,
,6.85,,,,,
,5.65,,,4.4,4.55,
,,4.4,,4.75,,
,4.6,,,5.7,5.17,
,5.2,5.9,,,4.4,
,5.7,,,,,
,,,,6.92,,
,4.85,,,,,
,4.9,,,,,
,,5.3,,5.2,5.5,
,5.0,5.0,,,4.8,
,,5.2,,4.85,4.8,
,,5.06,,,,
,4.9,6.0,,,8.3,
,4.85,,,,4.9,
,5.3,5.3,,,,
,,5.7,,,,
,4.6,,,,,
,4.8,5.5,,,4.7,
,,5.0,,,,
,5.1,,,,,
,6.0,4.8,,4.7,4.6,
,5.4,,,,,
,4.8,,,5.35,5.4,
,,4.4,,,,
,6.27,,,,,
,,,,4.52,,
,,4.95,,4.65,5.25,
,,,,4.92,,
,5.3,,,,5.3,
,5.5,5.4,,,5.2,
,,4.5,,4.4,4.4,
,5.8,,,,,
,5.4,5.95,,,5.75,
,5.6,4.6,,,4.9,
,,6.05,,,,
,,6.1,,,,
,,,,,5.3,
,5.3,,,,,
,4.6,4.75,,4.6,,
,,,,4.85,,
,5.3,4.75,,,5.55,
,5.2,,,5.4,,
,,4.71,,,4.36,
,4.5,4.8,,,,
,,6.05,,,,
,5.4,,,,,
,,7.25,,5.5,,
